 ,新字体,旧字体,部首,総画数,学年,追加年,削除年,カナ,カナ,カナ,カナ,カナ,かな,かな,かな,かな,かな,かな,かな
,収,收,攴,,,,,シュウ,,,,,おさ-める,おさ-まる,,,,,
,囚,,囗,,S,,,シュウ,,,,,,,,,,,
,州,,巛,,,,,シュウ,,,,,す,,,,,,
,舟,,舟,,S,,,シュウ,,,,,ふね,（ふな）,,,,,
,秀,,禾,,S,,,シュウ,,,,,ひい-でる,,,,,,
,周,,口,,,,,シュウ,,,,,まわ-り,,,,,,
,宗,,宀,,,,,シュウ,ソウ,,,,,,,,,,
,拾,,手,,,,,シュウ,ジュウ,,,,ひろ-う,,,,,,
,秋,,禾,,,,,シュウ,,,,,あき,,,,,,
,臭,臭 ,自,,S,,,シュウ,,,,,くさ-い,にお-う,,,,,
,修,,人,,,,,シュウ,（シュ）,,,,おさ-める,おさ-まる,,,,,
,袖,,衣,,S,,,シュウ,,,,,そで,,,,,,
,終,,糸,,,,,シュウ,,,,,お-わる,お-える,,,,,
,羞,,羊,,S,,,シュウ,,,,,,,,,,,
,習,,羽,,,,,シュウ,,,,,なら-う,,,,,,
,週,,辵,,,,,シュウ,,,,,,,,,,,
,就,,尢,,,,,シュウ,（ジュ）,,,,つ-く,つ-ける,,,,,
,衆,,血,,,,,シュウ,（シュ）,,,,,,,,,,
,集,,隹,,,,,シュウ,,,,,あつ-まる,あつ-める,つど-う,,,,
,愁,,心,,S,,,シュウ,,,,,うれ-える,うれ-い,,,,,
,酬,,酉,,S,,,シュウ,,,,,,,,,,,
,醜,,酉,,S,,,シュウ,,,,,みにく-い,,,,,,
,蹴,,足,,S,,,シュウ,,,,,け-る,,,,,,
,襲,,衣,,S,,,シュウ,,,,,おそ-う,,,,,,
,十,,十,,,,,ジュウ,ジッ,,,,とお,と,,,,,
,汁,,水,,S,,,ジュウ,,,,,しる,,,,,,
,充,,儿,,S,,,ジュウ,,,,,あ-てる,,,,,,
,住,,人,,,,,ジュウ,,,,,す-む,す-まう,,,,,
,柔,,木,,S,,,ジュウ,ニュウ,,,,やわ-らか,やわ-らかい,,,,,
,重,,里,,,,,ジュウ,チョウ,,,,え,おも-い,かさ-ねる,かさ-なる,,,
,従,從,彳,,,,,ジュウ,（ショウ）,（ジュ）,,,したが-う,したが-える,,,,,
,渋,澁,水,,S,,,ジュウ,,,,,しぶ,しぶ-い,しぶ-る,,,,
,銃,,金,,S,,,ジュウ,,,,,,,,,,,
,獣,獸,犬,,S,,,ジュウ,,,,,けもの,,,,,,
,縦,縱,糸,,,,,ジュウ,,,,,たて,,,,,,
,叔,,又,,S,,,シュク,,,,,,,,,,,
,祝,祝 ,示,,,,,シュク,（シュウ）,,,,いわ-う,,,,,,
,宿,,宀,,,,,シュク,,,,,やど,やど-る,やど-す,,,,
,淑,,水,,S,,,シュク,,,,,,,,,,,
,粛,肅,聿,,S,,,シュク,,,,,,,,,,,
,縮,,糸,,,,,シュク,,,,,ちぢ-む,ちぢ-まる,ちぢ-める,ちぢ-れる,ちぢ-らす,,
,塾,,土,,S,,,ジュク,,,,,,,,,,,
,熟,,火,,,,,ジュク,,,,,う-れる,,,,,,
,出,,凵,,,,,シュツ,（スイ）,,,,で-る,だ-す,,,,,
,述,,辵,,,,,ジュツ,,,,,の-べる,,,,,,
,術,,行,,,,,ジュツ,,,,,,,,,,,
,俊,,人,,S,,,シュン,,,,,,,,,,,
,春,,日,,,,,シュン,,,,,はる,,,,,,
,瞬,,目,,S,,,シュン,,,,,またた-く,,,,,,
,旬,,日,,S,,,ジュン,（シュン）,,,,,,,,,,
,巡,,巛,,S,,,ジュン,,,,,めぐ-る,,,,,,
,盾,,目,,S,,,ジュン,,,,,たて,,,,,,
,准,,冫,,S,,,ジュン,,,,,,,,,,,
,殉,,歹,,S,,,ジュン,,,,,,,,,,,
,純,,糸,,,,,ジュン,,,,,,,,,,,
,循,,彳,,S,,,ジュン,,,,,,,,,,,
,順,,頁,,,,,ジュン,,,,,,,,,,,
,準,,水,,,,,ジュン,,,,,,,,,,,
,潤,,水,,S,,,ジュン,,,,,うるお-う,うるお-す,うる-む,,,,
,遵,,辵,,S,,,ジュン,,,,,,,,,,,
,処,處,虍,,,,,ショ,,,,,,,,,,,
,初,,刀,,,,,ショ,,,,,はじ-め,はじ-めて,はつ,うい,そ-める,,
,所,,戶,,,,,ショ,,,,,ところ,,,,,,
,書,,曰,,,,,ショ,,,,,か-く,,,,,,
,庶,,广,,S,,,ショ,,,,,,,,,,,
,暑,暑 ,日,,,,,ショ,,,,,あつ-い,,,,,,
,署,署 ,网,,,,,ショ,,,,,,,,,,,
,緒,緖,糸,,S,,,ショ,（チョ）,,,,お,,,,,,
,諸,諸 ,言,,,,,ショ,,,,,,,,,,,
,女,,女,,,,,ジョ,ニョ,（ニョウ）,,,おんな,め,,,,,
,如,,女,,S,,,ジョ,ニョ,,,,,,,,,,
,助,,力,,,,,ジョ,,,,,たす-ける,たす-かる,すけ,,,,
,序,,广,,,,,ジョ,,,,,,,,,,,
,叙,敍,攴,,S,,,ジョ,,,,,,,,,,,
,徐,,彳,,S,,,ジョ,,,,,,,,,,,
,除,,阜,,,,,ジョ,（ジ）,,,,のぞ-く,,,,,,
,小,,小,,,,,ショウ,,,,,ちい-さい,こ,お,,,,
,升,,十,,S,,,ショウ,,,,,ます,,,,,,
,少,,小,,,,,ショウ,,,,,すく-ない,すこ-し,,,,,
,召,,口,,S,,,ショウ,,,,,め-す,,,,,,
,匠,,匚,,S,,,ショウ,,,,,,,,,,,
,床,,广,,S,,,ショウ,,,,,とこ,ゆか,,,,,
,抄,,手,,S,,,ショウ,,,,,,,,,,,
,肖,,肉,,S,,,ショウ,,,,,,,,,,,
,尚,,小,,S,,,ショウ,,,,,,,,,,,
,招,,手,,,,,ショウ,,,,,まね-く,,,,,,
,承,,手,,,,,ショウ,,,,,うけたまわ-る,,,,,,
,昇,,日,,S,,,ショウ,,,,,のぼ-る,,,,,,
,松,,木,,,,,ショウ,,,,,まつ,,,,,,
,沼,,水,,S,,,ショウ,,,,,ぬま,,,,,,
,昭,,日,,,,,ショウ,,,,,,,,,,,
,宵,,宀,,S,,,ショウ,,,,,よい,,,,,,
,将,將,寸,,,,,ショウ,,,,,,,,,,,
,消,,水,,,,,ショウ,,,,,き-える,け-す,,,,,
,症,,疒,,S,,,ショウ,,,,,,,,,,,
,祥,祥 ,示,,S,,,ショウ,,,,,,,,,,,
,称,稱,禾,,S,,,ショウ,,,,,,,,,,,
,笑,,竹,,,,,ショウ,,,,,わら-う,え-む,,,,,
,唱,,口,,,,,ショウ,,,,,とな-える,,,,,,
,商,,口,,,,,ショウ,,,,,あきな-う,,,,,,
,渉,涉,水,,S,,,ショウ,,,,,,,,,,,
,章,,立,,,,,ショウ,,,,,,,,,,,
,紹,,糸,,S,,,ショウ,,,,,,,,,,,
,訟,,言,,S,,,ショウ,,,,,,,,,,,
,勝,,力,,,,,ショウ,,,,,か-つ,まさ-る,,,,,
,掌,,手,,S,,,ショウ,,,,,,,,,,,
,晶,,日,,S,,,ショウ,,,,,,,,,,,
,焼,燒,火,,,,,ショウ,,,,,や-く,や-ける,,,,,
,焦,,火,,S,,,ショウ,,,,,こ-げる,こ-がす,こ-がれる,あせ-る,,,
,硝,,石,,S,,,ショウ,,,,,,,,,,,
,粧,,米,,S,,,ショウ,,,,,,,,,,,
,詔,,言,,S,,,ショウ,,,,,みことのり,,,,,,
,証,證,言,,,,,ショウ,,,,,,,,,,,
,象,,豕,,,,,ショウ,ゾウ,,,,,,,,,,
,傷,,人,,,,,ショウ,,,,,きず,いた-む,いた-める,,,,
,奨,奬,大,,S,,,ショウ,,,,,,,,,,,
,照,,火,,,,,ショウ,,,,,て-る,て-らす,て-れる,,,,
,詳,,言,,S,,,ショウ,,,,,くわ-しい,,,,,,
,彰,,彡,,S,,,ショウ,,,,,,,,,,,
,障,,阜,,,,,ショウ,,,,,さわ-る,,,,,,
,憧,,心,,S,,,ショウ,,,,,あこが-れる,,,,,,
,衝,,行,,S,,,ショウ,,,,,,,,,,,
,賞,,貝,,,,,ショウ,,,,,,,,,,,
,償,,人,,S,,,ショウ,,,,,つぐな-う,,,,,,
,礁,,石,,S,,,ショウ,,,,,,,,,,,
,鐘,,金,,S,,,ショウ,,,,,かね,,,,,,
,上,,一,,,,,ジョウ,（ショウ）,,,,うえ,（うわ）,かみ,あ-げる,あ-がる,のぼ-る,
,丈,,一,,S,,,ジョウ,,,,,たけ,,,,,,
,冗,,冖,,S,,,ジョウ,,,,,,,,,,,
,条,條,木,,,,,ジョウ,,,,,,,,,,,
,状,狀,犬,,,,,ジョウ,,,,,,,,,,,
,乗,乘,丿,,,,,ジョウ,,,,,の-る,の-せる,,,,,
,城,,土,,,,,ジョウ,,,,,しろ,,,,,,
,浄,淨,水,,S,,,ジョウ,,,,,,,,,,,
,剰,剩,刀,,S,,,ジョウ,,,,,,,,,,,
,常,,巾,,,,,ジョウ,,,,,つね,とこ,,,,,
,情,,心,,,,,ジョウ,（セイ）,,,,なさ-け,,,,,,
,場,,土,,,,,ジョウ,,,,,ば,,,,,,
,畳,疊,田,,S,,,ジョウ,,,,,たた-む,たたみ,,,,,
,蒸,,艸,,,,,ジョウ,,,,,む-す,む-れる,む-らす,,,,
,縄,繩,糸,,S,,,ジョウ,,,,,なわ,,,,,,
,壌,壤,土,,S,,,ジョウ,,,,,,,,,,,
,嬢,孃,女,,S,,,ジョウ,,,,,,,,,,,
,錠,,金,,S,,,ジョウ,,,,,,,,,,,
,譲,讓,言,,S,,,ジョウ,,,,,ゆず-る,,,,,,
,醸,釀,酉,,S,,,ジョウ,,,,,かも-す,,,,,,
,色,,色,,,,,ショク,シキ,,,,いろ,,,,,,
,拭,,手,,S,,,ショク,,,,,ふ-く,ぬぐ-う,,,,,
,食,,食,,,,,ショク,（ジキ）,,,,く-う,く-らう,た-べる,,,,
,植,,木,,,,,ショク,,,,,う-える,う-わる,,,,,
,殖,,歹,,S,,,ショク,,,,,ふ-える,ふ-やす,,,,,
,飾,,食,,S,,,ショク,,,,,かざ-る,,,,,,
,触,觸,角,,S,,,ショク,,,,,ふ-れる,さわ-る,,,,,
,嘱,囑,口,,S,,,ショク,,,,,,,,,,,
,織,,糸,,,,,ショク,シキ,,,,お-る,,,,,,
,職,,耳,,,,,ショク,,,,,,,,,,,
,辱,,辰,,S,,,ジョク,,,,,はずかし-める,,,,,,
,尻,,尸,,S,,,,,,,,しり,,,,,,
,心,,心,,,,,シン,,,,,こころ,,,,,,
,申,,田,,,,,シン,,,,,もう-す,,,,,,
,伸,,人,,S,,,シン,,,,,の-びる,の-ばす,の-べる,,,,
,臣,,臣,,,,,シン,ジン,,,,,,,,,,
,芯,,艸,,S,,,シン,,,,,,,,,,,
,身,,身,,,,,シン,,,,,み,,,,,,
,辛,,辛,,S,,,シン,,,,,から-い,,,,,,
,侵,,人,,S,,,シン,,,,,おか-す,,,,,,
,信,,人,,,,,シン,,,,,,,,,,,
,津,,水,,S,,,シン,,,,,つ,,,,,,
,神,神 ,示,,,,,シン,ジン,,,,かみ,（かん）,（こう）,,,,
,唇,,口,,S,,,シン,,,,,くちびる,,,,,,
,娠,,女,,S,,,シン,,,,,,,,,,,
,振,,手,,S,,,シン,,,,,ふ-る,ふ-るう,ふ-れる,,,,
,浸,,水,,S,,,シン,,,,,ひた-す,ひた-る,,,,,
,真,眞,目,,,,,シン,,,,,ま,,,,,,
,針,,金,,,,,シン,,,,,はり,,,,,,
,深,,水,,,,,シン,,,,,ふか-い,ふか-まる,ふか-める,,,,
,紳,,糸,,S,,,シン,,,,,,,,,,,
,進,,辵,,,,,シン,,,,,すす-む,すす-める,,,,,
,森,,木,,,,,シン,,,,,もり,,,,,,
,診,,言,,S,,,シン,,,,,み-る,,,,,,
,寝,寢,宀,,S,,,シン,,,,,ね-る,ね-かす,,,,,
,慎,愼,心,,S,,,シン,,,,,つつし-む,,,,,,
,新,,斤,,,,,シン,,,,,あたら-しい,あら-た,にい,,,,
,審,,宀,,S,,,シン,,,,,,,,,,,
,震,,雨,,S,,,シン,,,,,ふる-う,ふる-える,,,,,
,薪,,艸,,S,,,シン,,,,,たきぎ,,,,,,
,親,,見,,,,,シン,,,,,おや,した-しい,した-しむ,,,,
,人,,人,,,,,ジン,ニン,,,,ひと,,,,,,
,刃,,刀,,S,,,ジン,,,,,は,,,,,,
,仁,,人,,,,,ジン,（ニ）,,,,,,,,,,
,尽,盡,皿,,S,,,ジン,,,,,つ-くす,つ-きる,つ-かす,,,,
,迅,,辵,,S,,,ジン,,,,,,,,,,,
,甚,,甘,,S,,,ジン,,,,,はなは-だ,はなは-だしい,,,,,
,陣,,阜,,S,,,ジン,,,,,,,,,,,
,尋,,寸,,S,,,ジン,,,,,たず-ねる,,,,,,
,腎,,肉,,S,,,ジン,,,,,,,,,,,
,須,,頁,,S,,,ス,,,,,,,,,,,
,図,圖,囗,,,,,ズ,ト,,,,はか-る,,,,,,
,水,,水,,,,,スイ,,,,,みず,,,,,,
,吹,,口,,S,,,スイ,,,,,ふ-く,,,,,,
,垂,,土,,,,,スイ,,,,,た-れる,た-らす,,,,,
,炊,,火,,S,,,スイ,,,,,た-く,,,,,,
,帥,,巾,,S,,,スイ,,,,,,,,,,,
,粋,粹,米,,S,,,スイ,,,,,いき,,,,,,
,衰,,衣,,S,,,スイ,,,,,おとろ-える,,,,,,
,推,,手,,,,,スイ,,,,,お-す,,,,,,
,酔,醉,酉,,S,,,スイ,,,,,よ-う,,,,,,
,遂,,辵,,S,,,スイ,,,,,と-げる,,,,,,
,睡,,目,,S,,,スイ,,,,,,,,,,,
,穂,穗,禾,,S,,,スイ,,,,,ほ,,,,,,
,錘,,金,,S,,,スイ,,,,,つ-む,,,,,,
,随,隨,阜,,S,,,ズイ,,,,,,,,,,,
,髄,髓,骨,,S,,,ズイ,,,,,,,,,,,
,枢,樞,木,,S,,,スウ,,,,,,,,,,,
,崇,,山,,S,,,スウ,,,,,,,,,,,
,数,數,攴,,,,,スウ,（ス）,,,,かず,かぞ-える,,,,,
,据,,手,,S,,,,,,,,す-える,す-わる,,,,,
,杉,,木,,S,,,,,,,,すぎ,,,,,,
,裾,,衣,,S,,,,,,,,すそ,,,,,,
,寸,,寸,,,,,スン,,,,,,,,,,,
,瀬,瀨,水,,S,,,,,,,,せ,,,,,,
,是,,日,,S,,,ゼ,,,,,,,,,,,
,井,,二,,S,,,セイ,（ショウ）,,,,い,,,,,,
,世,,一,,,,,セイ,セ,,,,よ,,,,,,
,正,,止,,,,,セイ,ショウ,,,,ただ-しい,ただ-す,まさ,,,,
,生,,生,,,,,セイ,ショウ,,,,い-きる,い-かす,い-ける,う-まれる,う-む,お-う,
,成,,戈,,,,,セイ,（ジョウ）,,,,な-る,な-す,,,,,
,西,,襾,,,,,セイ,サイ,,,,にし,,,,,,
,声,聲,耳,,,,,セイ,（ショウ）,,,,こえ,（こわ）,,,,,
,制,,刀,,,,,セイ,,,,,,,,,,,
,姓,,女,,S,,,セイ,ショウ,,,,,,,,,,
,征,,彳,,S,,,セイ,,,,,,,,,,,
,性,,心,,,,,セイ,ショウ,,,,,,,,,,
,青,,靑,,,,,セイ,（ショウ）,,,,あお,あお-い,,,,,
,斉,齊,齊,,S,,,セイ,,,,,,,,,,,
,政,,攴,,,,,セイ,（ショウ）,,,,まつりごと,,,,,,
,星,,日,,,,,セイ,（ショウ）,,,,ほし,,,,,,
,牲,,牛,,S,,,セイ,,,,,,,,,,,
,省,,目,,,,,セイ,ショウ,,,,かえり-みる,はぶ-く,,,,,
,凄,,冫,,S,,,セイ,,,,,,,,,,,
,逝,,辵,,S,,,セイ,,,,,ゆ-く,い-く,,,,,
,清,,水,,,,,セイ,（ショウ）,,,,きよ-い,きよ-まる,きよ-める,,,,
,盛,,皿,,,,,セイ,（ジョウ）,,,,も-る,さか-る,さか-ん,,,,
,婿,,女,,S,,,セイ,,,,,むこ,,,,,,
,晴,,日,,,,,セイ,,,,,は-れる,は-らす,,,,,
,勢,,力,,,,,セイ,,,,,いきお-い,,,,,,
,聖,,耳,,,,,セイ,,,,,,,,,,,
,誠,,言,,,,,セイ,,,,,まこと,,,,,,
,精,,米,,,,,セイ,（ショウ）,,,,,,,,,,
,製,,衣,,,,,セイ,,,,,,,,,,,
,誓,,言,,S,,,セイ,,,,,ちか-う,,,,,,
,静,靜,靑,,,,,セイ,（ジョウ）,,,,しず,しず-か,しず-まる,しず-める,,,
,請,,言,,S,,,セイ,（シン）,,,,こ-う,う-ける,,,,,
,整,,攴,,,,,セイ,,,,,ととの-える,ととの-う,,,,,
,醒,,酉,,S,,,セイ,,,,,,,,,,,
,税,,禾,,,,,ゼイ,,,,,,,,,,,
,夕,,夕,,,,,セキ,,,,,ゆう,,,,,,
,斥,,斤,,S,,,セキ,,,,,,,,,,,
,石,,石,,,,,セキ,（シャク）,（コク）,,,いし,,,,,,
,赤,,赤,,,,,セキ,（シャク）,,,,あか,あか-い,あか-らむ,あか-らめる,,,
,昔,,日,,,,,セキ,（シャク）,,,,むかし,,,,,,
,析,,木,,S,,,セキ,,,,,,,,,,,
,席,,巾,,,,,セキ,,,,,,,,,,,
,脊,,肉,,S,,,セキ,,,,,,,,,,,
,隻,,隹,,S,,,セキ,,,,,,,,,,,
,惜,,心,,S,,,セキ,,,,,お-しい,お-しむ,,,,,
,戚,,戈,,S,,,セキ,,,,,,,,,,,
,責,,貝,,,,,セキ,,,,,せ-める,,,,,,
,跡,,足,,S,,,セキ,,,,,あと,,,,,,
,積,,禾,,,,,セキ,,,,,つ-む,つ-もる,,,,,
,績,,糸,,,,,セキ,,,,,,,,,,,
,籍,,竹,,S,,,セキ,,,,,,,,,,,
,切,,刀,,,,,セツ,（サイ）,,,,き-る,き-れる,,,,,
,折,,手,,,,,セツ,,,,,お-る,おり,お-れる,,,,
,拙,,手,,S,,,セツ,,,,,つたな-い,,,,,,
,窃,竊,穴,,S,,,セツ,,,,,,,,,,,
,接,,手,,,,,セツ,,,,,つ-ぐ,,,,,,
,設,,言,,,,,セツ,,,,,もう-ける,,,,,,
,雪,,雨,,,,,セツ,,,,,ゆき,,,,,,
,摂,攝,手,,S,,,セツ,,,,,,,,,,,
,節,節 ,竹,,,,,セツ,（セチ）,,,,ふし,,,,,,
,説,,言,,,,,セツ,（ゼイ）,,,,と-く,,,,,,
,舌,,舌,,,,,ゼツ,,,,,した,,,,,,
,絶,,糸,,,,,ゼツ,,,,,た-える,た-やす,た-つ,,,,
,千,,十,,,,,セン,,,,,ち,,,,,,
,川,,巛,,,,,セン,,,,,かわ,,,,,,
,仙,,人,,S,,,セン,,,,,,,,,,,
,占,,卜,,S,,,セン,,,,,し-める,うらな-う,,,,,
,先,,儿,,,,,セン,,,,,さき,,,,,,
,宣,,宀,,,,,セン,,,,,,,,,,,
,専,專,寸,,,,,セン,,,,,もっぱ-ら,,,,,,
,泉,,水,,,,,セン,,,,,いずみ,,,,,,
,浅,淺,水,,,,,セン,,,,,あさ-い,,,,,,
,洗,,水,,,,,セン,,,,,あら-う,,,,,,
,染,,木,,,,,セン,,,,,そ-める,そ-まる,し-みる,し-み,,,
,扇,,戶,,S,,,セン,,,,,おうぎ,,,,,,
,栓,,木,,S,,,セン,,,,,,,,,,,
,旋,,方,,S,,,セン,,,,,,,,,,,
,船,,舟,,,,,セン,,,,,ふね,（ふな）,,,,,
,戦,戰,戈,,,,,セン,,,,,いくさ,たたか-う,,,,,
,煎 ,,火,,S,,,セン,,,,,い-る,,,,,,
,羨,,羊,,S,,,セン,,,,,うらや-む,うらや-ましい,,,,,
,腺,,肉,,S,,,セン,,,,,,,,,,,
,詮 ,,言,,S,,,セン,,,,,,,,,,,
,践,踐,足,,S,,,セン,,,,,,,,,,,
,箋 ,,竹,,S,,,セン,,,,,,,,,,,
,銭,錢,金,,,,,セン,,,,,ぜに,,,,,,
,銑,,金,,S,,,セン,,,,,,,,,,,
,潜,潛,水,,S,,,セン,,,,,ひそ-む,もぐ-る,,,,,
,線,,糸,,,,,セン,,,,,,,,,,,
,遷,,辵,,S,,,セン,,,,,,,,,,,
,選,,辵,,,,,セン,,,,,えら-ぶ,,,,,,
,薦,,艸,,S,,,セン,,,,,すす-める,,,,,,
,繊,纖,糸,,S,,,セン,,,,,,,,,,,
,鮮,,魚,,S,,,セン,,,,,あざ-やか,,,,,,
,全,,入,,,,,ゼン,,,,,まった-く,すべ-て,,,,,
,前,,刀,,,,,ゼン,,,,,まえ,,,,,,
,善,,口,,,,,ゼン,,,,,よ-い,,,,,,
,然,,火,,,,,ゼン,ネン,,,,,,,,,,
,禅,禪,示,,S,,,ゼン,,,,,,,,,,,
,漸,,水,,S,,,ゼン,,,,,,,,,,,
,膳,,肉,,S,,,ゼン,,,,,,,,,,,
,繕,,糸,,S,,,ゼン,,,,,つくろ-う,,,,,,
,狙,,犬,,S,,,ソ,,,,,ねら-う,,,,,,
,阻,,阜,,S,,,ソ,,,,,はば-む,,,,,,
,祖,祖 ,示,,,,,ソ,,,,,,,,,,,
,租,,禾,,S,,,ソ,,,,,,,,,,,
,素,,糸,,,,,ソ,ス,,,,,,,,,,
,措,,手,,S,,,ソ,,,,,,,,,,,
,粗,,米,,S,,,ソ,,,,,あら-い,,,,,,
,組,,糸,,,,,ソ,,,,,く-む,くみ,,,,,
,疎,,疋,,S,,,ソ,,,,,うと-い,うと-む,,,,,
,訴,,言,,S,,,ソ,,,,,うった-える,,,,,,
,塑,,土,,S,,,ソ,,,,,,,,,,,
,遡 ,,辵,,S,,,ソ,,,,,さかのぼ-る,,,,,,
,礎,,石,,S,,,ソ,,,,,いしずえ,,,,,,
,双,雙,隹,,S,,,ソウ,,,,,ふた,,,,,,
,壮,壯,士,,S,,,ソウ,,,,,,,,,,,
,早,,日,,,,,ソウ,（サッ）,,,,はや-い,はや-まる,はや-める,,,,
,争,爭,爪,,,,,ソウ,,,,,あらそ-う,,,,,,
,走,,走,,,,,ソウ,,,,,はし-る,,,,,,
,奏,,大,,,,,ソウ,,,,,かな-でる,,,,,,
,相,,目,,,,,ソウ,ショウ,,,,あい,,,,,,
,荘,莊,艸,,S,,,ソウ,,,,,,,,,,,
,草,,艸,,,,,ソウ,,,,,くさ,,,,,,
,送,,辵,,,,,ソウ,,,,,おく-る,,,,,,
,倉,,人,,,,,ソウ,,,,,くら,,,,,,
,捜,搜,手,,S,,,ソウ,,,,,さが-す,,,,,,
,挿,插,手,,S,,,ソウ,,,,,さ-す,,,,,,
,桑,,木,,S,,,ソウ,,,,,くわ,,,,,,
,巣,巢,巛,,,,,ソウ,,,,,す,,,,,,
,掃,,手,,S,,,ソウ,,,,,は-く,,,,,,
,曹,,曰,,S,,,ソウ,,,,,,,,,,,
,曽,曾,曰,,S,,,ソウ,（ゾ）,,,,,,,,,,
,爽,,爻,,S,,,ソウ,,,,,さわ-やか,,,,,,
,窓,,穴,,,,,ソウ,,,,,まど,,,,,,
,創,,刀,,,,,ソウ,,,,,つく-る,,,,,,
,喪,,口,,S,,,ソウ,,,,,も,,,,,,
,痩,瘦,疒,,S,,,ソウ,,,,,や-せる,,,,,,
,葬,,艸,,S,,,ソウ,,,,,ほうむ-る,,,,,,
,装,裝,衣,,,,,ソウ,ショウ,,,,よそお-う,,,,,,
,僧,僧 ,人,,S,,,ソウ,,,,,,,,,,,
,想,,心,,,,,ソウ,（ソ）,,,,,,,,,,
,層,層 ,尸,,,,,ソウ,,,,,,,,,,,
,総,總,糸,,,,,ソウ,,,,,,,,,,,
,遭,,辵,,S,,,ソウ,,,,,あ-う,,,,,,
,槽,,木,,S,,,ソウ,,,,,,,,,,,
,踪,,足,,S,,,ソウ,,,,,,,,,,,
,操,,手,,,,,ソウ,,,,,みさお,あやつ-る,,,,,
,燥,,火,,S,,,ソウ,,,,,,,,,,,
,霜,,雨,,S,,,ソウ,,,,,しも,,,,,,
,騒,騷,馬,,S,,,ソウ,,,,,さわ-ぐ,,,,,,
,藻,,艸,,S,,,ソウ,,,,,も,,,,,,
,造,,辵,,,,,ゾウ,,,,,つく-る,,,,,,
,像,,人,,,,,ゾウ,,,,,,,,,,,
,増,增,土,,,,,ゾウ,,,,,ま-す,ふ-える,ふ-やす,,,,
,憎,憎 ,心,,S,,,ゾウ,,,,,にく-む,にく-い,にく-らしい,にく-しみ,,,
,蔵,藏,艸,,,,,ゾウ,,,,,くら,,,,,,
,贈,贈 ,貝,,S,,,ゾウ,（ソウ）,,,,おく-る,,,,,,
,臓,臟,肉,,,,,ゾウ,,,,,,,,,,,
,即,卽,卩,,S,,,ソク,,,,,,,,,,,
,束,,木,,,,,ソク,,,,,たば,,,,,,
,足,,足,,,,,ソク,,,,,あし,た-りる,た-る,た-す,,,
,促,,人,,S,,,ソク,,,,,うなが-す,,,,,,
,則,,刀,,,,,ソク,,,,,,,,,,,
,息,,心,,,,,ソク,,,,,いき,,,,,,
,捉,,手,,S,,,ソク,,,,,とら-える,,,,,,
,速,,辵,,,,,ソク,,,,,はや-い,はや-める,はや-まる,すみ-やか,,,
,側,,人,,,,,ソク,,,,,がわ,,,,,,
,測,,水,,,,,ソク,,,,,はか-る,,,,,,
,俗,,人,,S,,,ゾク,,,,,,,,,,,
,族,,方,,,,,ゾク,,,,,,,,,,,
,属,屬,尸,,,,,ゾク,,,,,,,,,,,
,賊,,貝,,S,,,ゾク,,,,,,,,,,,
,続,續,糸,,,,,ゾク,,,,,つづ-く,つづ-ける,,,,,
,卒,,十,,,,,ソツ,,,,,,,,,,,
,率,,玄,,,,,ソツ,リツ,,,,ひき-いる,,,,,,
,存,,子,,,,,ソン,ゾン,,,,,,,,,,
,村,,木,,,,,ソン,,,,,むら,,,,,,
,孫,,子,,,,,ソン,,,,,まご,,,,,,
,尊,,寸,,,,,ソン,,,,,たっと-い,とうと-い,たっと-ぶ,とうと-ぶ,,,
,損,,手,,,,,ソン,,,,,そこ-なう,そこ-ねる,,,,,
,遜 ,,辵,,S,,,ソン,,,,,,,,,,,
,他,,人,,,,,タ,,,,,ほか,,,,,,
,多,,夕,,,,,タ,,,,,おお-い,,,,,,
,汰,,水,,S,,,タ,,,,,,,,,,,
,打,,手,,,,,ダ,,,,,う-つ,,,,,,
,妥,,女,,S,,,ダ,,,,,,,,,,,
,唾,,口,,S,,,ダ,,,,,つば,,,,,,
,堕,墮,土,,S,,,ダ,,,,,,,,,,,
,惰,,心,,S,,,ダ,,,,,,,,,,,
,駄,,馬,,S,,,ダ,,,,,,,,,,,
,太,,大,,,,,タイ,タ,,,,ふと-い,ふと-る,,,,,
,対,對,寸,,,,,タイ,ツイ,,,,,,,,,,
,体,體,骨,,,,,タイ,テイ,,,,からだ,,,,,,
,耐,,而,,S,,,タイ,,,,,た-える,,,,,,
,待,,彳,,,,,タイ,,,,,ま-つ,,,,,,
,怠,,心,,S,,,タイ,,,,,おこた-る,なま-ける,,,,,
,胎,,肉,,S,,,タイ,,,,,,,,,,,
,退,,辵,,,,,タイ,,,,,しりぞ-く,しりぞ-ける,,,,,
,帯,帶,巾,,,,,タイ,,,,,お-びる,おび,,,,,
,泰,,水,,S,,,タイ,,,,,,,,,,,
,堆,,土,,S,,,タイ,,,,,,,,,,,
,袋,,衣,,S,,,タイ,,,,,ふくろ,,,,,,
,逮,,辵,,S,,,タイ,,,,,,,,,,,
,替,,曰,,S,,,タイ,,,,,か-える,か-わる,,,,,
,貸,,貝,,,,,タイ,,,,,か-す,,,,,,
,隊,,阜,,,,,タイ,,,,,,,,,,,
,滞,滯,水,,S,,,タイ,,,,,とどこお-る,,,,,,
,態,,心,,,,,タイ,,,,,,,,,,,
,戴,,戈,,S,,,タイ,,,,,,,,,,,
