 ,新字体,旧字体,部首,総画数,学年,追加年,削除年,カナ,カナ,カナ,カナ,カナ,かな,かな,かな,かな,かな,かな,かな
,我,,戈,,,,,ガ,,,,,われ,わ,,,,,
,画,畫,田,,,,,ガ,カク,,,,,,,,,,
,芽,,艸,,,,,ガ,,,,,め,,,,,,
,賀,,貝,,,,,ガ,,,,,,,,,,,
,雅,,隹,,S,,,ガ,,,,,,,,,,,
,餓,,食,,S,,,ガ,,,,,,,,,,,
,介,,人,,S,,,カイ,,,,,,,,,,,
,回,,囗,,,,,カイ,（エ）,,,,まわ-る,まわ-す,,,,,
,灰,,火,,,,,カイ,,,,,はい,,,,,,
,会,會,曰,,,,,カイ,エ,,,,あ-う,,,,,,
,快,,心,,,,,カイ,,,,,こころよ-い,,,,,,
,戒,,戈,,S,,,カイ,,,,,いまし-める,,,,,,
,改,,攴,,,,,カイ,,,,,あらた-める,あらた-まる,,,,,
,怪,,心,,S,,,カイ,,,,,あや-しい,あや-しむ,,,,,
,拐,,手,,S,,,カイ,,,,,,,,,,,
,悔,悔 ,心,,S,,,カイ,,,,,く-いる,く-やむ,くや-しい,,,,
,海,海 ,水,,,,,カイ,,,,,うみ,,,,,,
,界,,田,,,,,カイ,,,,,,,,,,,
,皆,,白,,S,,,カイ,,,,,みな,,,,,,
,械,,木,,,,,カイ,,,,,,,,,,,
,絵,繪,糸,,,,,カイ,エ,,,,,,,,,,
,開,,門,,,,,カイ,,,,,ひら-く,ひら-ける,あ-く,あ-ける,,,
,階,,阜,,,,,カイ,,,,,,,,,,,
,塊,,土,,S,,,カイ,,,,,かたまり,,,,,,
,楷,,木,,S,,,カイ,,,,,,,,,,,
,解,,角,,,,,カイ,ゲ,,,,と-く,と-かす,と-ける,,,,
,潰,,水,,S,,,カイ,,,,,つぶ-す,つぶ-れる,,,,,
,壊,壞,土,,S,,,カイ,,,,,こわ-す,こわ-れる,,,,,
,懐,懷,心,,S,,,カイ,,,,,ふところ,なつ-かしい,なつ-かしむ,なつ-く,なつ-ける,,
,諧,,言,,S,,,カイ,,,,,,,,,,,
,貝,,貝,,,,,,,,,,かい,,,,,,
,外,,夕,,,,,ガイ,ゲ,,,,そと,ほか,はず-す,はず-れる,,,
,劾,,力,,S,,,ガイ,,,,,,,,,,,
,害,,宀,,,,,ガイ,,,,,,,,,,,
,崖,,山,,S,,,ガイ,,,,,がけ,,,,,,
,涯,,水,,S,,,ガイ,,,,,,,,,,,
,街,,行,,,,,ガイ,（カイ）,,,,まち,,,,,,
,慨,慨 ,心,,S,,,ガイ,,,,,,,,,,,
,蓋,,艸,,S,,,ガイ,,,,,ふた,,,,,,
,該,,言,,S,,,ガイ,,,,,,,,,,,
,概,槪,木,,S,,,ガイ,,,,,,,,,,,
,骸 ,,骨,,S,,,ガイ,,,,,,,,,,,
,垣,,土,,S,,,,,,,,かき,,,,,,
,柿,,木,,S,,,,,,,,かき,,,,,,
,各,,口,,,,,カク,,,,,おのおの,,,,,,
,角,,角,,,,,カク,,,,,かど,つの,,,,,
,拡,擴,手,,,,,カク,,,,,,,,,,,
,革,,革,,,,,カク,,,,,かわ,,,,,,
,格,,木,,,,,カク,（コウ）,,,,,,,,,,
,核,,木,,S,,,カク,,,,,,,,,,,
,殻,殼,殳,,S,,,カク,,,,,から,,,,,,
,郭,,邑,,S,,,カク,,,,,,,,,,,
