屠,도
島,도
嶋,도
度,도
徒,도
悼,도
挑,도
掉,도
搗,도
桃,도
棹,도
櫂,도
淘,도
渡,도
滔,도
濤,도
燾,도
盜,도
睹,도
禱,도
稻,도
萄,도
覩,도
賭,도
跳,도
蹈,도
逃,도
途,도
道,도
都,도
鍍,도
陶,도
韜,도
毒,독
瀆,독
牘,독
犢,독
獨,독
督,독
禿,독
篤,독
纛,독
讀,독
墩,돈
惇,돈
敦,돈
旽,돈
暾,돈
沌,돈
焞,돈
燉,돈
豚,돈
頓,돈
乭,돌
突,돌
仝,동
冬,동
凍,동
動,동
同,동
憧,동
東,동
桐,동
棟,동
洞,동
潼,동
疼,동
瞳,동
童,동
胴,동
董,동
銅,동
兜,두
斗,두
杜,두
枓,두
痘,두
竇,두
荳,두
讀,두
豆,두
逗,두
頭,두
屯,둔
臀,둔
芚,둔
遁,둔
遯,둔
鈍,둔
得,득
嶝,등
橙,등
燈,등
登,등
等,등
藤,등
謄,등
鄧,등
騰,등
喇,라
懶,라
拏,라
癩,라
羅,라
蘿,라
螺,라
裸,라
邏,라
樂,락
洛,락
烙,락
珞,락
絡,락
落,락
諾,락
酪,락
駱,락
丹,란
亂,란
卵,란
欄,란
欒,란
瀾,란
爛,란
蘭,란
鸞,란
剌,랄
辣,랄
嵐,람
擥,람
攬,람
欖,람
濫,람
籃,람
纜,람
藍,람
襤,람
覽,람
拉,랍
臘,랍
蠟,랍
廊,랑
朗,랑
浪,랑
狼,랑
琅,랑
瑯,랑
螂,랑
郞,랑
來,래
崍,래
徠,래
萊,래
冷,랭
掠,략
略,략
亮,량
倆,량
兩,량
凉,량
梁,량
樑,량
粮,량
粱,량
糧,량
良,량
諒,량
輛,량
量,량
侶,려
儷,려
勵,려
呂,려
廬,려
慮,려
戾,려
旅,려
櫚,려
濾,려
礪,려
藜,려
蠣,려
閭,려
驢,려
驪,려
麗,려
黎,려
力,력
曆,력
歷,력
瀝,력
礫,력
轢,력
靂,력
憐,련
戀,련
攣,련
漣,련
煉,련
璉,련
練,련
聯,련
蓮,련
輦,련
連,련
鍊,련
冽,렬
列,렬
劣,렬
洌,렬
烈,렬
裂,렬
廉,렴
斂,렴
殮,렴
濂,렴
簾,렴
獵,렵
令,령
伶,령
囹,령
寧,령
岺,령
嶺,령
怜,령
玲,령
笭,령
羚,령
翎,령
聆,령
逞,령
鈴,령
零,령
靈,령
領,령
齡,령
例,례
澧,례
禮,례
醴,례
隷,례
勞,로
怒,로
撈,로
擄,로
櫓,로
潞,로
瀘,로
爐,로
盧,로
老,로
蘆,로
虜,로
路,로
輅,로
露,로
魯,로
鷺,로
鹵,로
碌,록
祿,록
綠,록
菉,록
錄,록
鹿,록
麓,록
論,론
壟,롱
弄,롱
朧,롱
瀧,롱
瓏,롱
籠,롱
